                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.825,                 4.2005,                 4.0121,                0.29855,                0.02266,                0.00686,                 0.0019,                 3.1053,                 3.2244,                 3.5506,              0.0033211,              0.0033211,              0.0033211
                      2,                 2.9459,                  3.165,                 3.1082,                0.64627,                0.07424,                0.04528,                0.01561,                 2.6807,                 2.7239,                 2.9144,              0.0066325,              0.0066325,              0.0066325
                      3,                 2.4765,                 2.5394,                 2.5332,                0.15215,                0.15428,                0.10377,                 0.0454,                  2.509,                 3.3391,                 2.7252,              0.0099219,              0.0099219,              0.0099219
                      4,                 2.2107,                 2.1456,                 2.1842,                0.21288,                0.18831,                0.17364,                0.08601,                 2.0989,                 2.0586,                 2.3131,               0.009901,               0.009901,               0.009901
                      5,                  2.058,                 1.9201,                 2.0145,                0.21893,                 0.1844,                0.18684,                0.09854,                 2.0115,                 2.0795,                 2.1979,               0.009868,               0.009868,               0.009868
                      6,                 1.9666,                 1.7826,                 1.9239,                0.21151,                0.25287,                0.22367,                0.12136,                 1.8891,                  1.838,                 2.0572,               0.009835,               0.009835,               0.009835
                      7,                 1.9014,                 1.6707,                 1.8409,                0.22844,                0.24241,                0.22998,                0.12416,                 1.8677,                 1.7337,                 2.0251,               0.009802,               0.009802,               0.009802
                      8,                 1.8529,                 1.5981,                 1.7898,                0.53477,                0.26839,                0.24469,                0.14058,                 1.8337,                 1.6776,                 1.9664,               0.009769,               0.009769,               0.009769
                      9,                  1.808,                  1.542,                  1.753,                 0.6993,                0.22077,                0.25373,                0.14015,                 1.8421,                 1.6519,                 1.9807,               0.009736,               0.009736,               0.009736
                     10,                 1.7737,                 1.4983,                 1.7186,                0.53918,                0.31059,                0.27285,                0.15367,                 1.7686,                  1.578,                 1.9072,               0.009703,               0.009703,               0.009703
                     11,                 1.7321,                 1.4464,                 1.6846,                0.68213,                0.29583,                0.25165,                0.14606,                 1.7575,                 1.5587,                  1.899,                0.00967,                0.00967,                0.00967
                     12,                 1.7261,                 1.4305,                 1.6698,                0.55492,                0.32438,                0.28854,                0.16508,                 1.7455,                 1.5204,                 1.8573,               0.009637,               0.009637,               0.009637
                     13,                 1.7027,                   1.39,                 1.6485,                0.55875,                0.30735,                0.28041,                0.16336,                 1.7289,                 1.5245,                 1.8525,               0.009604,               0.009604,               0.009604
                     14,                 1.6868,                 1.3754,                 1.6314,                0.53698,                0.31133,                0.28458,                0.16478,                 1.7075,                  1.463,                 1.8327,               0.009571,               0.009571,               0.009571
                     15,                 1.6609,                 1.3411,                 1.6162,                0.55256,                0.30362,                0.29239,                0.17369,                  1.676,                  1.443,                  1.827,               0.009538,               0.009538,               0.009538
                     16,                 1.6398,                 1.3057,                 1.5961,                0.55888,                0.33329,                0.30703,                0.18032,                 1.6882,                 1.4249,                 1.8054,               0.009505,               0.009505,               0.009505
                     17,                 1.6141,                 1.2835,                 1.5848,                0.53297,                0.32666,                0.28817,                0.17221,                 1.6908,                 1.3973,                 1.8111,               0.009472,               0.009472,               0.009472
                     18,                 1.6111,                 1.2712,                 1.5705,                0.72056,                0.31869,                0.29636,                0.17736,                   1.66,                 1.4071,                 1.7972,               0.009439,               0.009439,               0.009439
                     19,                 1.6023,                  1.252,                 1.5656,                0.68206,                0.33163,                0.29966,                0.18194,                 1.6643,                 1.3989,                 1.7815,               0.009406,               0.009406,               0.009406
                     20,                 1.5753,                 1.2348,                 1.5538,                0.55703,                0.33415,                0.31145,                0.18494,                 1.6454,                 1.3479,                 1.7603,               0.009373,               0.009373,               0.009373
                     21,                 1.5738,                  1.224,                 1.5393,                0.56039,                0.34083,                0.31363,                0.18744,                 1.6498,                 1.3829,                 1.7665,                0.00934,                0.00934,                0.00934
                     22,                 1.5613,                 1.2052,                 1.5285,                0.68322,                0.36257,                0.32831,                 0.1949,                 1.6193,                 1.3449,                 1.7331,               0.009307,               0.009307,               0.009307
                     23,                 1.5449,                 1.1938,                 1.5195,                0.73546,                0.26206,                0.31169,                0.18649,                 1.6464,                 1.3788,                 1.7503,               0.009274,               0.009274,               0.009274
                     24,                 1.5567,                 1.1858,                  1.519,                0.64029,                0.39398,                0.32536,                0.19209,                 1.6186,                 1.3187,                 1.7335,               0.009241,               0.009241,               0.009241
                     25,                 1.5212,                  1.165,                 1.5003,                0.58984,                 0.3404,                0.33495,                0.19983,                 1.6104,                 1.3181,                 1.7166,               0.009208,               0.009208,               0.009208
                     26,                 1.5364,                 1.1551,                 1.4942,                0.60218,                0.32197,                0.32708,                0.19867,                 1.6071,                 1.3325,                 1.7329,               0.009175,               0.009175,               0.009175
                     27,                 1.5094,                 1.1424,                 1.4868,                0.59682,                0.35415,                0.33671,                0.20178,                 1.6081,                 1.3216,                 1.7094,               0.009142,               0.009142,               0.009142
                     28,                 1.5205,                 1.1525,                 1.4897,                0.71137,                0.34485,                0.36292,                0.21729,                 1.5975,                 1.3053,                 1.7176,               0.009109,               0.009109,               0.009109
                     29,                 1.5142,                 1.1348,                 1.4775,                0.71192,                0.33571,                0.36271,                0.21395,                 1.6006,                 1.2549,                 1.7051,               0.009076,               0.009076,               0.009076
                     30,                 1.5085,                 1.1272,                 1.4735,                0.80487,                0.31098,                0.34724,                 0.2137,                 1.5752,                 1.2932,                 1.6895,               0.009043,               0.009043,               0.009043
