                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.4821,                 1.1055,                  1.462,                 0.5995,                0.34349,                0.36653,                0.22679,                 1.5751,                 1.2544,                 1.6787,                0.00901,                0.00901,                0.00901
                     32,                 1.4925,                 1.1111,                 1.4612,                0.70587,                0.31384,                 0.3691,                0.23202,                 1.5848,                  1.245,                 1.6988,               0.008977,               0.008977,               0.008977
                     33,                 1.4809,                 1.0927,                 1.4518,                0.78991,                0.32039,                0.37395,                0.23505,                 1.5852,                 1.2586,                 1.7003,               0.008944,               0.008944,               0.008944
                     34,                 1.4718,                 1.0791,                 1.4509,                0.78927,                0.32897,                0.38012,                0.23252,                 1.5894,                 1.2405,                 1.7083,               0.008911,               0.008911,               0.008911
                     35,                  1.469,                 1.0762,                 1.4404,                0.66935,                0.32135,                0.38406,                0.23808,                 1.5898,                 1.2437,                 1.6811,               0.008878,               0.008878,               0.008878
                     36,                 1.4566,                 1.0705,                 1.4281,                0.81134,                0.34682,                0.38209,                0.23249,                 1.5813,                 1.2241,                 1.6871,               0.008845,               0.008845,               0.008845
                     37,                 1.4529,                 1.0686,                  1.426,                0.77346,                0.32378,                0.38632,                0.24685,                 1.5464,                 1.2266,                 1.6616,               0.008812,               0.008812,               0.008812
                     38,                 1.4373,                 1.0476,                 1.4194,                0.86472,                0.32643,                0.39094,                 0.2447,                   1.56,                 1.2068,                 1.6709,               0.008779,               0.008779,               0.008779
                     39,                 1.4307,                 1.0424,                   1.41,                0.50377,                0.43891,                0.38389,                0.24054,                 1.5598,                 1.2215,                 1.6685,               0.008746,               0.008746,               0.008746
                     40,                 1.4339,                 1.0442,                   1.42,                0.80013,                0.33525,                0.39038,                0.23508,                 1.5666,                 1.2122,                 1.6664,               0.008713,               0.008713,               0.008713
                     41,                 1.4397,                 1.0481,                 1.4178,                0.66212,                0.36423,                  0.387,                0.23894,                 1.5552,                 1.1862,                 1.6557,                0.00868,                0.00868,                0.00868
                     42,                 1.4237,                 1.0283,                 1.4071,                0.49254,                0.41378,                0.37842,                0.23514,                 1.5593,                 1.1873,                 1.6533,               0.008647,               0.008647,               0.008647
                     43,                  1.418,                 1.0168,                 1.3997,                0.49569,                0.42112,                0.38956,                0.24172,                 1.5641,                 1.2039,                 1.6626,               0.008614,               0.008614,               0.008614
                     44,                 1.4232,                 1.0224,                 1.4033,                0.77265,                0.32529,                0.39225,                0.24215,                 1.5522,                 1.1938,                 1.6543,               0.008581,               0.008581,               0.008581
                     45,                  1.421,                 1.0109,                 1.3982,                0.71014,                0.35738,                 0.3944,                 0.2513,                 1.5307,                  1.174,                 1.6339,               0.008548,               0.008548,               0.008548
                     46,                 1.3997,                 1.0049,                 1.3887,                0.74542,                0.36139,                0.38946,                0.24595,                 1.5577,                 1.1856,                 1.6634,               0.008515,               0.008515,               0.008515
                     47,                  1.396,                0.99175,                 1.3829,                0.50067,                0.44461,                0.41049,                0.24945,                 1.5478,                 1.1701,                 1.6508,               0.008482,               0.008482,               0.008482
                     48,                 1.4082,                 1.0033,                 1.3855,                0.76058,                0.37014,                0.40758,                0.25819,                 1.5555,                 1.1603,                 1.6461,               0.008449,               0.008449,               0.008449
                     49,                 1.4025,                  1.005,                 1.3802,                0.75772,                0.36776,                0.41598,                0.25524,                 1.5464,                 1.1473,                 1.6415,               0.008416,               0.008416,               0.008416
                     50,                 1.3905,                0.99518,                 1.3742,                0.55029,                0.45091,                0.40904,                0.25926,                 1.5419,                 1.1716,                 1.6473,               0.008383,               0.008383,               0.008383
                     51,                  1.388,                0.99354,                   1.37,                0.70226,                0.37434,                0.40045,                0.24952,                 1.5338,                 1.1559,                 1.6372,                0.00835,                0.00835,                0.00835
                     52,                 1.3797,                0.97759,                 1.3607,                 0.5075,                0.44917,                0.41114,                0.25957,                 1.5392,                 1.1496,                 1.6319,               0.008317,               0.008317,               0.008317
                     53,                  1.386,                0.98187,                 1.3621,                0.70215,                0.37393,                0.42026,                0.25806,                 1.5337,                 1.1709,                 1.6249,               0.008284,               0.008284,               0.008284
                     54,                 1.3715,                0.96878,                 1.3571,                0.66796,                0.36469,                0.40825,                0.25991,                 1.5381,                 1.1645,                 1.6332,               0.008251,               0.008251,               0.008251
                     55,                 1.3678,                0.96844,                 1.3509,                0.70554,                0.37018,                0.40246,                0.25734,                 1.5242,                  1.161,                 1.6295,               0.008218,               0.008218,               0.008218
                     56,                 1.3869,                0.96738,                 1.3614,                0.63732,                0.39036,                0.41261,                 0.2575,                 1.5144,                 1.1554,                 1.6123,               0.008185,               0.008185,               0.008185
                     57,                 1.3587,                0.95776,                 1.3533,                0.66783,                0.38096,                0.40675,                0.24766,                 1.5371,                 1.1357,                  1.625,               0.008152,               0.008152,               0.008152
                     58,                 1.3594,                0.95064,                 1.3399,                0.56241,                0.46232,                0.42026,                 0.2614,                 1.5384,                 1.1464,                 1.6223,               0.008119,               0.008119,               0.008119
                     59,                 1.3597,                0.95262,                 1.3431,                0.64226,                0.41296,                0.42109,                0.26676,                  1.527,                 1.1381,                 1.6183,               0.008086,               0.008086,               0.008086
                     60,                 1.3502,                 0.9462,                 1.3411,                0.55259,                0.44055,                0.42073,                0.27036,                 1.5203,                 1.1314,                 1.6127,               0.008053,               0.008053,               0.008053
                     61,                 1.3382,                0.93739,                 1.3343,                0.64646,                0.38348,                0.41328,                0.26439,                  1.523,                 1.1309,                 1.6227,                0.00802,                0.00802,                0.00802
                     62,                 1.3468,                0.93715,                 1.3368,                0.69531,                0.41181,                0.42017,                0.26522,                 1.5309,                  1.126,                 1.6224,               0.007987,               0.007987,               0.007987
                     63,                 1.3379,                 0.9343,                 1.3293,                0.55088,                0.45423,                0.42081,                0.26845,                 1.5285,                  1.131,                 1.6171,               0.007954,               0.007954,               0.007954
                     64,                 1.3548,                0.94011,                 1.3316,                0.66738,                0.36281,                0.40346,                0.26268,                 1.5273,                 1.1653,                 1.6198,               0.007921,               0.007921,               0.007921
                     65,                 1.3477,                0.93482,                 1.3264,                0.66667,                0.37273,                0.41572,                0.26507,                 1.5199,                 1.1551,                 1.6124,               0.007888,               0.007888,               0.007888
                     66,                 1.3434,                0.93193,                 1.3233,                0.67963,                0.37565,                0.41044,                0.26323,                 1.5244,                 1.1465,                 1.6173,               0.007855,               0.007855,               0.007855
                     67,                 1.3355,                 0.9297,                 1.3138,                0.52493,                0.43392,                0.40017,                0.25965,                 1.5273,                 1.1238,                 1.6213,               0.007822,               0.007822,               0.007822
                     68,                 1.3313,                0.91576,                 1.3104,                0.63367,                0.36534,                0.40711,                  0.258,                 1.5297,                 1.1208,                 1.6227,               0.007789,               0.007789,               0.007789
                     69,                 1.3248,                0.91918,                 1.3108,                0.67641,                0.38102,                0.42229,                0.26421,                 1.5204,                 1.1382,                 1.6074,               0.007756,               0.007756,               0.007756
                     70,                  1.333,                0.92192,                 1.3117,                0.57128,                0.40222,                0.42072,                0.27172,                 1.5176,                 1.1291,                 1.6076,               0.007723,               0.007723,               0.007723
                     71,                 1.3469,                0.93057,                  1.316,                0.63824,                0.40092,                0.41291,                0.26732,                 1.5211,                 1.1352,                 1.6061,                0.00769,                0.00769,                0.00769
                     72,                  1.338,                0.91747,                 1.3061,                0.59469,                0.43661,                0.42462,                0.26882,                 1.5153,                 1.1143,                 1.5958,               0.007657,               0.007657,               0.007657
                     73,                 1.3319,                0.91221,                 1.3055,                 0.6278,                0.41577,                  0.426,                0.27116,                 1.5287,                 1.1131,                 1.6126,               0.007624,               0.007624,               0.007624
                     74,                 1.3316,                0.90739,                 1.2992,                0.68356,                 0.3637,                0.41722,                0.26224,                 1.5303,                 1.1173,                 1.6168,               0.007591,               0.007591,               0.007591
                     75,                 1.3382,                0.91233,                  1.303,                0.65415,                0.38455,                0.41757,                0.26443,                 1.5244,                 1.1044,                  1.611,               0.007558,               0.007558,               0.007558
                     76,                 1.3261,                0.90627,                 1.2955,                0.67596,                0.37944,                0.41265,                0.26637,                   1.52,                  1.103,                 1.6076,               0.007525,               0.007525,               0.007525
                     77,                 1.3182,                0.89979,                 1.2888,                0.72329,                 0.3723,                0.41526,                0.26734,                 1.5177,                 1.1013,                 1.6004,               0.007492,               0.007492,               0.007492
                     78,                  1.324,                0.90424,                 1.2956,                 0.7087,                0.38067,                0.41612,                0.26947,                 1.5211,                 1.1028,                 1.6053,               0.007459,               0.007459,               0.007459
                     79,                 1.3162,                0.89883,                 1.2838,                0.71166,                0.37156,                0.41836,                0.27184,                 1.5164,                 1.1049,                 1.5979,               0.007426,               0.007426,               0.007426
                     80,                 1.3213,                0.89941,                 1.2842,                0.64537,                0.41102,                 0.4203,                0.27479,                  1.518,                 1.1066,                 1.5979,               0.007393,               0.007393,               0.007393
                     81,                 1.2927,                 0.8789,                 1.2747,                0.66958,                0.41568,                0.42524,                0.27485,                  1.522,                 1.1064,                 1.5997,                0.00736,                0.00736,                0.00736
                     82,                 1.3049,                0.88537,                 1.2783,                0.70617,                0.40922,                0.42721,                0.27772,                 1.5188,                 1.1037,                 1.5983,               0.007327,               0.007327,               0.007327
                     83,                 1.2981,                0.88828,                 1.2753,                0.71325,                0.40956,                0.43129,                 0.2743,                  1.518,                 1.0905,                 1.6026,               0.007294,               0.007294,               0.007294
                     84,                 1.3215,                0.89166,                 1.2802,                0.67881,                0.41354,                0.43027,                0.27099,                 1.5163,                 1.0828,                 1.6031,               0.007261,               0.007261,               0.007261
                     85,                 1.2986,                0.87569,                 1.2713,                 0.6648,                0.38792,                0.43188,                 0.2719,                 1.5133,                 1.0783,                 1.5979,               0.007228,               0.007228,               0.007228
                     86,                 1.3054,                0.88246,                 1.2705,                0.69096,                0.37206,                0.43017,                 0.2748,                 1.5118,                 1.0786,                 1.5974,               0.007195,               0.007195,               0.007195
                     87,                 1.2936,                0.87863,                 1.2672,                0.68484,                0.37012,                0.42351,                0.27039,                 1.5162,                 1.0832,                 1.5969,               0.007162,               0.007162,               0.007162
                     88,                 1.3053,                0.88656,                 1.2716,                0.63824,                0.40093,                0.41974,                0.27069,                 1.5175,                 1.0923,                  1.601,               0.007129,               0.007129,               0.007129
                     89,                 1.2748,                0.86617,                 1.2572,                0.60684,                0.42855,                0.42712,                0.27309,                 1.5184,                 1.0929,                 1.6001,               0.007096,               0.007096,               0.007096
                     90,                 1.2972,                0.88019,                 1.2608,                0.63124,                0.40953,                0.41652,                0.26972,                 1.5136,                 1.0929,                 1.5935,               0.007063,               0.007063,               0.007063
                     91,                 1.2717,                0.85937,                 1.2493,                0.63435,                0.40511,                0.41479,                0.27021,                 1.5127,                 1.0914,                 1.5938,                0.00703,                0.00703,                0.00703
                     92,                 1.2985,                0.87062,                 1.2544,                0.68976,                0.39391,                0.42758,                0.27747,                 1.5134,                 1.0903,                 1.5924,               0.006997,               0.006997,               0.006997
                     93,                 1.2837,                0.86973,                 1.2568,                0.67711,                0.41373,                0.43372,                0.27911,                 1.5166,                 1.0915,                 1.5962,               0.006964,               0.006964,               0.006964
                     94,                   1.28,                0.86128,                 1.2523,                0.65781,                0.41942,                0.43358,                0.27899,                 1.5181,                 1.0873,                 1.5991,               0.006931,               0.006931,               0.006931
                     95,                 1.2812,                0.86293,                 1.2548,                0.64946,                0.42093,                0.43707,                0.27634,                 1.5233,                 1.0871,                 1.6035,               0.006898,               0.006898,               0.006898
                     96,                 1.2857,                0.86491,                 1.2497,                0.65534,                0.40625,                 0.4291,                0.27626,                 1.5241,                 1.0884,                 1.6026,               0.006865,               0.006865,               0.006865
                     97,                 1.2731,                0.86007,                 1.2491,                0.67868,                0.40459,                0.43033,                0.27862,                 1.5248,                 1.0897,                 1.6059,               0.006832,               0.006832,               0.006832
                     98,                 1.2714,                0.85451,                 1.2507,                0.67586,                 0.4026,                0.43103,                0.27623,                 1.5266,                 1.0914,                 1.6092,               0.006799,               0.006799,               0.006799
                     99,                 1.2725,                0.85347,                 1.2451,                 0.6737,                0.40431,                0.43185,                 0.2757,                 1.5274,                 1.0899,                 1.6087,               0.006766,               0.006766,               0.006766
                    100,                 1.2747,                  0.857,                 1.2444,                0.67801,                0.40412,                0.42357,                0.27129,                 1.5262,                 1.0899,                 1.6079,               0.006733,               0.006733,               0.006733
                    101,                 1.2611,                0.84214,                 1.2417,                0.68165,                0.40325,                0.43044,                0.27564,                 1.5284,                 1.0923,                 1.6101,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2823,                0.85875,                 1.2408,                0.69135,                 0.4014,                0.42481,                0.27221,                 1.5268,                   1.09,                 1.6078,               0.006667,               0.006667,               0.006667
                    103,                  1.274,                0.85062,                 1.2438,                0.70658,                0.39497,                0.42887,                0.27757,                 1.5299,                 1.0904,                 1.6104,               0.006634,               0.006634,               0.006634
                    104,                 1.2621,                0.84595,                 1.2346,                0.70976,                0.39327,                0.42856,                0.27576,                 1.5286,                 1.0889,                 1.6096,               0.006601,               0.006601,               0.006601
                    105,                 1.2711,                0.84546,                 1.2358,                 0.7129,                0.39295,                 0.4273,                0.27654,                 1.5276,                 1.0859,                 1.6083,               0.006568,               0.006568,               0.006568
                    106,                 1.2608,                0.84066,                 1.2337,                0.72816,                0.38978,                0.42504,                0.27551,                  1.528,                 1.0815,                 1.6089,               0.006535,               0.006535,               0.006535
                    107,                   1.26,                0.84222,                 1.2373,                0.72589,                0.39174,                0.42696,                0.27517,                 1.5285,                  1.079,                 1.6059,               0.006502,               0.006502,               0.006502
                    108,                 1.2529,                0.83364,                 1.2286,                0.71674,                0.39277,                0.42747,                0.27524,                 1.5291,                 1.0762,                 1.6055,               0.006469,               0.006469,               0.006469
                    109,                  1.258,                0.83367,                  1.232,                 0.6915,                0.40424,                0.42767,                0.27519,                 1.5275,                 1.0771,                  1.603,               0.006436,               0.006436,               0.006436
                    110,                 1.2563,                0.83609,                 1.2302,                0.73786,                0.38661,                0.42752,                0.27559,                 1.5263,                 1.0743,                 1.6012,               0.006403,               0.006403,               0.006403
                    111,                 1.2715,                0.84415,                 1.2355,                 0.7353,                0.38841,                0.42733,                0.27553,                 1.5271,                 1.0743,                 1.6026,                0.00637,                0.00637,                0.00637
                    112,                 1.2551,                0.83509,                 1.2275,                0.73629,                0.39147,                 0.4272,                0.27594,                 1.5271,                 1.0737,                 1.6029,               0.006337,               0.006337,               0.006337
                    113,                 1.2565,                0.83351,                 1.2265,                 0.7296,                  0.394,                0.42715,                0.27608,                 1.5255,                  1.075,                 1.6023,               0.006304,               0.006304,               0.006304
                    114,                 1.2342,                0.82096,                 1.2223,                0.71189,                0.40205,                0.42625,                 0.2768,                 1.5249,                 1.0755,                 1.6023,               0.006271,               0.006271,               0.006271
                    115,                 1.2526,                0.83039,                 1.2236,                0.71165,                0.40368,                0.42632,                0.27741,                 1.5243,                 1.0746,                 1.6026,               0.006238,               0.006238,               0.006238
                    116,                 1.2487,                0.82709,                 1.2216,                0.70692,                0.40464,                0.42884,                0.27719,                 1.5233,                 1.0756,                 1.6014,               0.006205,               0.006205,               0.006205
                    117,                 1.2412,                0.82723,                 1.2202,                0.70917,                0.40322,                0.42884,                0.27787,                 1.5224,                 1.0731,                 1.6004,               0.006172,               0.006172,               0.006172
                    118,                 1.2303,                0.81359,                 1.2151,                0.70233,                0.40495,                0.42792,                0.27783,                  1.521,                  1.073,                 1.5986,               0.006139,               0.006139,               0.006139
                    119,                 1.2434,                0.82419,                 1.2192,                0.70236,                0.40509,                0.42885,                 0.2774,                   1.52,                  1.073,                 1.5976,               0.006106,               0.006106,               0.006106
                    120,                  1.242,                0.81944,                 1.2203,                0.69693,                0.40922,                0.42913,                0.27725,                 1.5202,                 1.0715,                 1.5975,               0.006073,               0.006073,               0.006073
                    121,                 1.2478,                0.81686,                 1.2164,                0.69497,                0.40816,                0.42984,                0.27756,                 1.5195,                 1.0715,                 1.5957,                0.00604,                0.00604,                0.00604
                    122,                 1.2269,                0.81729,                 1.2071,                0.69157,                0.40967,                0.43036,                0.27753,                 1.5195,                 1.0727,                 1.5948,               0.006007,               0.006007,               0.006007
                    123,                 1.2444,                0.81731,                 1.2148,                0.69097,                0.41087,                0.42953,                0.27721,                 1.5198,                 1.0712,                 1.5937,               0.005974,               0.005974,               0.005974
                    124,                 1.2351,                0.81555,                 1.2126,                0.61522,                0.40702,                0.42914,                0.27708,                 1.5202,                  1.071,                 1.5939,               0.005941,               0.005941,               0.005941
                    125,                 1.2413,                0.81422,                 1.2111,                0.61248,                0.40742,                 0.4284,                0.27732,                  1.521,                 1.0716,                 1.5941,               0.005908,               0.005908,               0.005908
                    126,                 1.2248,                0.80898,                  1.208,                0.62587,                0.41225,                0.42614,                0.27646,                 1.5211,                 1.0714,                 1.5937,               0.005875,               0.005875,               0.005875
                    127,                  1.232,                0.81206,                 1.2056,                 0.6352,                 0.4136,                0.42603,                0.27691,                 1.5217,                 1.0712,                 1.5943,               0.005842,               0.005842,               0.005842
                    128,                 1.2165,                0.80104,                 1.2031,                0.64151,                0.41525,                0.42754,                0.27716,                 1.5225,                 1.0705,                  1.595,               0.005809,               0.005809,               0.005809
                    129,                 1.2128,                0.79859,                 1.1999,                0.63807,                0.41543,                0.42719,                0.27699,                 1.5228,                 1.0712,                 1.5947,               0.005776,               0.005776,               0.005776
                    130,                 1.2197,                0.80008,                 1.1987,                0.63877,                0.41433,                0.42766,                0.27673,                 1.5228,                 1.0714,                 1.5945,               0.005743,               0.005743,               0.005743
                    131,                 1.2137,                0.80246,                 1.2004,                0.63773,                0.41513,                0.42773,                0.27711,                  1.523,                 1.0729,                 1.5941,                0.00571,                0.00571,                0.00571
                    132,                 1.2125,                0.80191,                  1.199,                0.63465,                 0.4155,                0.42741,                0.27674,                 1.5242,                 1.0728,                  1.595,               0.005677,               0.005677,               0.005677
                    133,                 1.2101,                0.79543,                 1.1971,                0.63608,                0.41636,                0.43013,                 0.2775,                 1.5236,                 1.0735,                 1.5949,               0.005644,               0.005644,               0.005644
                    134,                 1.2102,                0.79563,                 1.1998,                 0.6478,                0.41577,                0.42964,                0.27759,                 1.5243,                 1.0741,                 1.5942,               0.005611,               0.005611,               0.005611
                    135,                  1.215,                0.79486,                 1.2002,                0.65021,                0.41449,                0.43033,                 0.2779,                 1.5235,                 1.0742,                 1.5935,               0.005578,               0.005578,               0.005578
                    136,                 1.2222,                0.80272,                  1.195,                0.66978,                0.38618,                 0.4283,                0.27763,                  1.524,                 1.0738,                 1.5937,               0.005545,               0.005545,               0.005545
                    137,                 1.2164,                0.79535,                 1.1926,                0.67323,                0.38635,                0.42957,                0.27722,                 1.5246,                 1.0736,                  1.594,               0.005512,               0.005512,               0.005512
                    138,                 1.2041,                 0.7891,                 1.1918,                 0.6734,                0.38554,                0.42778,                0.27734,                 1.5248,                 1.0724,                 1.5937,               0.005479,               0.005479,               0.005479
                    139,                 1.2132,                0.79545,                 1.1919,                0.67575,                0.38386,                0.42784,                0.27762,                 1.5256,                 1.0719,                 1.5937,               0.005446,               0.005446,               0.005446
                    140,                 1.2135,                0.79161,                 1.1887,                0.67191,                0.38562,                0.42772,                0.27729,                 1.5254,                  1.072,                 1.5937,               0.005413,               0.005413,               0.005413
                    141,                 1.1998,                0.78438,                 1.1864,                0.67323,                 0.3855,                0.42782,                0.27704,                 1.5263,                 1.0727,                 1.5933,                0.00538,                0.00538,                0.00538
                    142,                 1.1961,                0.78634,                 1.1889,                 0.6751,                0.38168,                0.42883,                0.27729,                 1.5266,                 1.0728,                 1.5933,               0.005347,               0.005347,               0.005347
                    143,                 1.1979,                0.78348,                 1.1828,                0.67591,                0.37834,                0.42969,                 0.2774,                 1.5268,                 1.0733,                 1.5937,               0.005314,               0.005314,               0.005314
                    144,                 1.2082,                 0.7863,                 1.1876,                0.67375,                0.37897,                 0.4295,                0.27708,                 1.5272,                 1.0743,                 1.5938,               0.005281,               0.005281,               0.005281
                    145,                 1.2017,                0.78278,                 1.1855,                0.67519,                0.37876,                0.42946,                0.27715,                 1.5274,                 1.0733,                 1.5939,               0.005248,               0.005248,               0.005248
                    146,                 1.1916,                0.77509,                 1.1807,                0.67467,                0.37795,                0.42884,                0.27706,                 1.5271,                 1.0725,                 1.5936,               0.005215,               0.005215,               0.005215
                    147,                 1.1965,                0.78262,                 1.1828,                0.67668,                0.37655,                0.42884,                 0.2771,                 1.5279,                 1.0731,                 1.5941,               0.005182,               0.005182,               0.005182
                    148,                 1.1877,                 0.7765,                 1.1827,                0.67728,                0.37799,                0.43135,                0.27737,                 1.5278,                 1.0735,                 1.5943,               0.005149,               0.005149,               0.005149
                    149,                  1.177,                0.76603,                 1.1734,                0.67929,                0.37738,                0.43158,                0.27728,                 1.5283,                  1.073,                 1.5945,               0.005116,               0.005116,               0.005116
                    150,                 1.1836,                0.77079,                 1.1737,                0.67841,                0.37716,                0.43124,                0.27703,                  1.529,                 1.0726,                 1.5952,               0.005083,               0.005083,               0.005083
                    151,                 1.1915,                0.77783,                 1.1777,                0.54673,                0.45965,                 0.4323,                0.27696,                 1.5292,                 1.0718,                 1.5958,                0.00505,                0.00505,                0.00505
                    152,                  1.193,                0.77988,                 1.1814,                0.54184,                0.45893,                0.43215,                0.27711,                 1.5278,                 1.0725,                 1.5945,               0.005017,               0.005017,               0.005017
                    153,                 1.1904,                 0.7771,                 1.1773,                0.67063,                0.37856,                0.43182,                0.27697,                 1.5279,                 1.0721,                 1.5941,               0.004984,               0.004984,               0.004984
                    154,                  1.188,                0.76915,                 1.1725,                0.67111,                0.37844,                0.43185,                0.27737,                  1.528,                  1.073,                 1.5945,               0.004951,               0.004951,               0.004951
                    155,                 1.1905,                0.77269,                 1.1734,                 0.6783,                0.37517,                 0.4325,                0.27795,                 1.5287,                 1.0728,                 1.5954,               0.004918,               0.004918,               0.004918
                    156,                 1.1802,                0.76522,                 1.1732,                 0.6796,                0.37494,                0.43094,                0.27725,                  1.529,                 1.0736,                 1.5958,               0.004885,               0.004885,               0.004885
                    157,                 1.1974,                0.77578,                 1.1713,                0.67964,                0.37486,                0.43061,                0.27805,                 1.5292,                 1.0733,                  1.596,               0.004852,               0.004852,               0.004852
